,Title,Abstract,Venue,Year,Reference_Count,Citation_Count,Influential_Citation_Count,Open_Access,TLDR,index,author_1_id,author_1_name,author_2_id,author_2_name,author_3_id,author_3_name,author_4_id,author_4_name,author_5_id,author_5_name,author_6_id,author_6_name,fieldsOfStudy,Publication_Type
555,"[Laws on gender violence and their effect on sexism in advertising: a comparative analysis of advertisements from Argentina, Mexico, Spain and the United States].","OBJECTIVE
The aim of this study was to assess the impact of gender violence legislation on the incidence of sexism and gender bias in advertisements published in four countries: Argentina, Mexico, Spain, and the United States.


METHODS
The study focused on the content of 163 advertisements: 69 from Spain, 16 from Mexico, 50 from Argentina, and 28 from the United States. Data were gathered on the presence of bodies not associated with the product being advertised, to study the stereotypical presentation of men and women and gender biases in advertisements in Argentina, Mexico, Spain, and the United States.


RESULTS
The following stereotypical findings were observed: (i) men were shown in public places more often than women in the ads from Argentina (P = 0.000), Spain (P = 0.000), and Mexico (P = 0.011); (ii) men were shown more often than women practicing neutral professions in the ads from Argentina (P = 0.004), Spain (P = 0.000), and Mexico (P = 0.025); and (iii) men were shown more often than women as workers and users (P = 0.000) and less often than women in a parenting role (P = 0.000). With regard to biases, (i) men were given greater visibility than women in all four countries, and (ii) only in the ads from Spain were there significant differences in terms of parity, with men appearing more often in the ads than women (P = 0.014), and empowerment, with men shown making decisions more often than women; P = 0.045).


CONCLUSIONS
Those countries with legislation aimed at using communication to prevent gender violence do not have less sexism in their advertisements. To analyze the relationships between laws, sexism, and gender violence, it would be necessary to undertake a rigorous diachronic assessment of the instruments constructed and also to compare the results with other cultural and social indicators that are often difficult to isolate.",Revista Panamericana De Salud Publica-pan American Journal of Public Health,2013,8,7,0,True,"{'model': 'tldr@v2.0.0', 'text': 'Those countries with legislation aimed at using communication to prevent gender violence do not have less sexism in their advertisements and it would be necessary to undertake a rigorous diachronic assessment of the instruments constructed and to compare the results with other cultural and social indicators that are often difficult to isolate.'}",556,12843414,C. Policastro,2099021,B. Payne,,,,,,,,,Psychology,
556,The Blameworthy Victim: Domestic Violence Myths and the Criminalization of Victimhood,"Prior research shows that individual perceptions of victims play an integral role in the societal response to domestic violence, as well as victims' responses to their own victimization. However, little research has specifically examined individual perceptions of domestic violence victims who remain in abusive relationships. This study begins to fill the void in the literature by examining college students' attitudes toward battered women. Specifically, the study considers whether students adhere to common myths associated with battering and if myths lead college students to view domestic violence victims as “blameworthy.” The study relies on a sample of 370 university students attending a large Southern metropolitan university. Findings indicate that students moderately support domestic violence myths and that myth promotion is associated with support for increased criminal justice penalties such as prosecution of mothers and approval of delayed police response in cases of repeat victimization. Implications for policy, theory, and practice are provided.",,2013,54,51,7,False,,557,1962811,N. Pettorelli,2116658819,D. M. Evans,2692059,T. Garner,6239086,T. Katzner,6325405,M. Gompper,4726811,R. Altwegg,,
557,Addressing gender imbalances in Animal Conservation,"[Extract] The paucity of senior female scientists in science, including ecology and conservation, is a growing concern in the western world. 'Where are the women in ecology?' asked a paper in Frontiers in Ecology and the Environment recently (Martin, 2012). 'Women are driven out of research', conclude O'Brien & Hapgood (2012). Despite the increasing popularity of biology, including ecology, among female undergraduates and graduates, the proportion of female scientists in top positions remains low (European Commission, 2009; Martin, 2012; O'Brien & Hapgood, 2012; Adamo, 2013). An increasing number of individuals, institutions and governmental organizations are starting to ask why so many female scientists do not end up being employed in the type of occupations in which they were trained (Rosser, 2008; Hill, Corbett & St. Rose, 2010; Royal Society of Edinburgh, 2012). There are several reasons to address this issue, especially at a time of economic austerity in many countries. Losing trained scientists can represent a sunk cost: conservative estimates put the economic cost of a PhD in the US at c. $500 000 (Rosser, 2008), while each PhD student in the UK receives c. £100 000 from the government to cover stipends and research and training expenses (UKRC, 2012). Moreover, gender diversity is associated with indirect benefits; for example, commercial busi- nesses with gender-balanced staff and management tend to perform better financially (UKRC, 2010a).",,2013,22,11,1,False,,558,11667817,M. Mullinax,33239557,J. Higgins,5408287,J. Wagman,7538445,N. Nakyanjo,3647520,G. Kigozi,5545041,D. Serwadda,"Sociology, Medicine",JournalArticle
558,"Community understandings of and responses to gender equality and empowerment in Rakai, Uganda","Abstract Women's rights and gender empowerment programmes are now part of the international agenda for improving global public health, the benefits of which are well documented. However, the public health community has, yet, to address how people define and understand gender equality and how they enact the process of empowerment in their lives. This study uses safe homes and respect for everyone (SHARE), an anti-violence intervention in rural Rakai, Uganda, as a case study to investigate perceptions of gender equality. Investigators analysed 12 focus groups of adult women and men to explore how macro-level concepts of gender equality are being processed on an interpersonal level and the effects on health outcomes. Respondents generally agreed that women lack basic rights. However, they also expressed widespread disagreement about the meanings of gender equality, and reported difficulties integrating the concepts of gender equality into their interpersonal relationships. Community members reported that equality, with the resulting shift in gender norms, could expose women to adverse consequences such as violence, infidelity and abandonment with increased sexual health risks, and potential adverse effects on education. Efforts to increase women's rights must occur in conjunction with community-based work on understandings of gender equality.",Global Public Health,2013,39,10,0,False,,559,102893144,Marjorie J. Hill,,,,,,,,,,,Sociology,
559,"Is the Black Community More Homophobic?: Reflections on the Intersectionality of Race, Class, Gender, Culture and Religiosity of the Perception of Homophobia in the Black Community","This article examines the perception of homophobia in the black community. The author offers a context for answering this question that briefly explores the parameters for understanding the black community and the experience of black gays and lesbians within this context. No mention of homophobia as it relates to black people would be complete without addressing the impact of racism, sexism, class, and religious practices within the black community. The author gives a rationale for the prevailing assumption that gay and lesbian intolerance is higher among black people and explores at what cost and to what benefit. Recommendations are given for building a stronger and more cohesive black community.",,2013,19,48,5,False,,560,49136033,T. Carlson,116686187,C. McGeorge,4027877,Russell B. Toomey,,,,,,,Psychology,
560,"Establishing the Validity of the Affirmative Training Inventory: Assessing the Relationship between Lesbian, Gay, and Bisexual Affirmative Training and Students’ Clinical Competence","This study established the validity and factor structure of the Affirmative Training Inventory (ATI; T. S. Carlson, C. R. McGeorge & M. Rock, unpublished) as a measure of lesbian, gay, and bisexual (LGB) affirmative clinical training. Additionally, this study examined the latent associations among the subscales of the ATI and the Sexual Orientation Counselor Competency Scale (Bidell, 2005) utilizing a sample of 248 master’s and doctoral couple and family therapy students. The findings from this study provide empirical support for the relationship between specific classroom-related content associated with LGB affirmative therapy and students’ perceptions of their own ability to work competently with LGB clients. This study also found a positive association between the degree to which couple and family therapy programs adopt a LGB-affirmative stance and students’ beliefs, knowledge, and skills associated with competent therapy with LGB clients.",,2013,33,41,3,False,,561,114938342,Biook Benham,2522725,M. Mozaheb,,,,,,,,,Psychology,
561,"The depiction of men and women within Iranian high school EFL textbooks, tested against Islamic custom","The construction of social identity is an interdisciplinary term, which is a favourite topic for many scholars worldwide. Religion and identity are intertwined regarding the concept of identity construction. In Iran, this relation can best be seen through English as a Foreign Language (EFL) textbooks. To achieve this, this study investigates the depiction of men and women within Iranian high school EFL textbooks, tested against Islamic custom, utilizing linear and nonlinear approaches. Or, to put it another way, the content and pictures of these textbooks were tested with regards to Islamic customs. Finally, the concept of nationhood and identity were elaborated upon, regarding religious content in the EFL high school textbooks of Iran.",,2013,22,10,0,False,,562,144282407,Matthew D. Hammond,5342380,N. Overall,,,,,,,,,Psychology,
562,When relationships do not live up to benevolent ideals: Women's benevolent sexism and sensitivity to relationship problems†,"Benevolent sexism promises women a revered place within intimate relationships, which should lead to greater dissatisfaction when they face relationship difficulties. We collected self-reports of relationship problems and relationship satisfaction (Study 1; N = 91 heterosexual couples), relationship problems and relationship evaluations daily over 3 weeks (Study 1), and hurtful partner behaviour and relationship evaluations over 10 days (Study 2; N = 86 women). Women's endorsement of benevolent sexism predicted sharper declines in relationship satisfaction when they faced greater relationship problems (Study 1) and hurtful partner behaviour (Study 2). These effects were magnified in longer relationships (Studies 1 and 2), indicating that the sensitivity to relationship problems associated with women's endorsement of benevolent sexism is particularly pronounced when women have more invested in their relationship role being revered and cherished. The results suggest that women who endorse benevolent sexism are vulnerable within their relationships because their satisfaction is contingent upon the fulfilment of the promises of benevolent sexism. Copyright © 2013 John Wiley & Sons, Ltd.",,2013,35,41,4,False,,563,3305874,Philip J. Osteen,11538431,Todd Vanidestine,32141095,T. Sharpe,,,,,,,Psychology,
563,Multicultural Curriculum and MSW Students' Attitudes about Race and Diversity,"Methods of incorporating culturally competent practice and social justice curricula often are addressed in a required course or across courses using an infusion model. This research explored multicultural curricula and MSW students' attitudes about race and diversity. Data were collected from 297 MSW students enrolled at two universities. Multivariate analysis of variance revealed significant differences between students in programs with required multicultural coursework and those utilizing an infusion model, with respect to attitudes toward African Americans but not on measures of diversity or social equality and justice. The results indicate the differential outcomes based on curriculum models and support the need for further research in this area.",,2013,33,25,3,False,,564,13149019,M. Spindelman,,,,,,,,,,,Sociology,Review
564,Tyrone Garner's Lawrence v. Texas,"TYRONE GARNER'S LAWRENCE v. TEXAS[dagger] FLAGRANT CONDUCT: The Story of LAWRENCE V. TEXAS. By Dale Carpenter. New York and London: W.W. Norton & Co. 2012. Pp. xv, 284. $29.95.Dale Carpenter's Flagrant Conduct: The Story of Lawrence v. Texas has been roundly greeted with well-earned praise. After exploring the book's understanding of Lawrence v. Texas as a great civil rights victory for lesbian and gay rights, this Review offers an alternative perspective on the case. Built from facts about the background of the case that the book supplies, and organized in particular around the story that the book tells about Tyrone Garner and his life, this alternative perspective on Lawrence explores and assesses some of what the decision may mean not only for sexual orientation equality but also for equality along the oftenintersecting lines of gender, class, and race. Lawrence emerges in this light not as a singular victory for lesbian and gay civil rights, or perhaps even for civil rights more generally, but as a complexly mixed opinion about and for equality in society and under law.I'm not a hero. But I feel like we've done something good for a lot of people. I feel kind of proud of that.-Tyrone Garner (p. 277)We still have a lot of work to do as far as getting equal treatment and jobs and housing and employment.-Tyrone Garner (p. 277)[F]ew remember Garner or invoke his name.-Dale Carpenter (p. 277)I. LAWRENCE V. TEXAS AND THE POLITICS OF CIVIL RIGHTSThe early returns on Dale Carpenter's Flagrant Conduct: The Story of Lawrence v. Texas1 have persistently been in the mode of high praise.2 It is easy to see why. This history of Lawrence v. Texas-culturally and legally, one of the most discussed U.S. Supreme Court decisions of the last decade, and for lesbian and gay equality the most significant constitutional breakthrough to date3-brings many of the people and events behind the decision, hence the decision itself, to life in a thoroughly engaging and informative way. The book's deeply human-centered approach, in which Lawrence, as a legal, political, and cultural event, is revealed as the product of a vast and complex set of human actions and interactions over extended time and space, humanizes Lawrence by naming many of the figures who made it possible along the way. In the process, the book also humanizes the legal process itself, showing that it is populated by individuals-not nameless, faceless bureaucrats-who can be recognized, identified with, and, in many cases, thanked. By returning the legal system to the public this way, the book reveals the democratic and egalitarian spirit animating it, a spirit that is felt in its narrative progression-Lawrence v. Texas as progress and justice achieved-as well as in its crystal-clear, at times beautiful, prose.As it happens, the same democratic and egalitarian spirit that animates the book also animates its unabashedly pro-lesbian-and-gay-equality stance, a stance within which the book achieves what many readers will regard as a notable degree of fairness and balance. Carpenter has his views, of course, and his own pro-gay political blend. But despite his associations with libertarianism and Log Cabin Republicanism, and his conservative advocacy for marriage equality, the book does not read like it is pushing a conservative political brand. Yes, at moments-some subtle, some not-the book evinces sympathies for conservatisms that might track Carpenter's views. But in one of the book's many surprises, it offers grist for a more radically progressive outlook and perspective on Lawrence than any true conservative, pro-gay manifesto ordinarily would choose. Through this telling, the book thus surpasses its title's claim. ""The Story of Lawrence v. Texas"" actually packs plurals-stories-with facets and dimensions that exceed a single plotline linked to a single-minded political game.On its own terms, the book's account of Lawrence is filled with heroes of different sizes and shapes, more, certainly, than one would have guessed based only on the judicial reports. …",,2013,6,1,1,False,,565,1799395571,Maggie Böhm,108631866,Derrick Shapley,,,,,,,,,Psychology,Review
565,Interracial Marriage Trends and Migration Patterns: An Analysis of LAFANS 2000,"We hypothesized that interracial married couples will migrate more than intraracial married couples. We focus on three mechanisms (education, social support, and discrimination) that provide explanations for interracial couples to migrate more than interracial couples. The theoretical framework included the “Push-Pull” theory and perspective on social network ties and how they link to couples migration patterns. We used information gathered in a wave of the survey conducted in 2000 for the Los Angeles Family and Neighborhood Study. We used this survey and analyzed in a logistic regression model how the three mechanisms described above affect interracial married couples and migration patterns. The results provide a positive direction but did not provide a statistical significant due to small sample size. In conclusion, we find support from all three mechanisms for interracial marriage couples to have higher possibility for migration. Future implications should examine divorce rate and cohabitation to provide a higher migration pattern with interracial married couples.",,2013,60,4,0,False,,566,116963318,Andrew Porwancher,,,,,,,,,,,Sociology,
566,"Prying the gates wide open: academic freedom and gender equality at Brown University, 1974–1977","In 1974, Brown University’s Department of Anthropology denied tenure to assistant professor Louise Lamphere. Convinced that her dismissal was the product of sex discrimination, Lamphere filed suit against Brown. Lamphere and three other female scholars who joined her suit successfully pressed Brown into an out-of-court settlement in 1977. Significantly, the settlement required Brown not only to provide redress to the plaintiffs but also to take sweeping action in rectifying its faculty’s inequitable gender ratio. While Lamphere’s case marked a rare victory for academic women in the male preserve of the Ivy League, this study concerns the bearing of the lawsuit on academic freedom. It argues that academic freedom entails two interlocking principles: freedom of inquiry and departmental autonomy. Lamphere emphasised the former while Brown advocated the latter. Ultimately, the Lamphere case illustrates how academic freedom loses its efficacy when freedom of inquiry and departmental autonomy are decoupled.",,2013,14,0,0,False,,567,46385569,Lei Lai,5398154,Linda Babcock,,,,,,,,,Psychology,
567,Asian Americans and workplace discrimination: The interplay between sex of evaluators and the perception of social skills,"Summary 
In two role-playing scenarios, we investigate how White male and female evaluators perceive an Asian American versus White job candidate on the dimensions of competence and social skills and how these perceptions affect evaluators' decisions in hiring and promotion. Specifically, Study 1 examines how the perceptions of competence and social skills affect Asian (versus White) college graduates' chance of obtaining a non-technical (versus technical) position, and Study 2 tests how these perceptions affect Asians' probability of promotion relative to Whites'. Our findings suggest that female evaluators were less likely to select Asian than White candidates into positions involving social skills and were less likely to promote Asian than White candidates into these types of positions. Furthermore, female evaluators' perception that Asians were less socially skilled than Whites mediated both of these decisions. This paper contributes to the understanding of workplace discrimination of Asian Americans. Copyright © 2012 John Wiley & Sons, Ltd.",,2013,55,36,1,False,,568,4868802,George B. Cunningham,104791127,E. Melton,,,,,,,,,"Psychology, Medicine",JournalArticle
568,"The Moderating Effects of Contact with Lesbian and Gay Friends on the Relationships among Religious Fundamentalism, Sexism, and Sexual Prejudice","The purpose of this study was to examine the degree to which contact with lesbian and gay friends moderated the effects of religious fundamentalism and sexism on sexual prejudice. The authors gathered data from 269 heterosexual adults living in Texas. Results indicate that the effects of religious fundamentalism on sexual prejudice were reduced when contact was high. However, the positive association between modern sexism and sexual prejudice was not moderated by contact. The authors discuss theoretical and practical implications.",Journal of Sex Research,2013,68,56,1,False,"{'model': 'tldr@v2.0.0', 'text': 'Results indicate that the effects of religious fundamentalism on sexual prejudice were reduced when contact was high, however, the positive association between modern sexism and sexual prejudice was not moderated by contact.'}",569,46904492,Hyunjoon Park,2399505,J. Behrman,7629400,Jaesung Choi,,,,,,,"Medicine, Psychology",JournalArticle
569,Causal Effects of Single-Sex Schools on College Entrance Exams and College Attendance: Random Assignment in Seoul High Schools,,Demography,2013,66,152,7,True,"{'model': 'tldr@v2.0.0', 'text': 'This work exploits a unique feature of schooling in Seoul—the random assignment of students into single-sex versus coeducational high schools—to assess causal effects of single- sex schools on college entrance exam scores and college attendance.'}",570,5908080,J. Rajala,2107314634,C. Taylor,2022561,N. Kamoosi,83834462,M. V. Velzen,4425624,A. Ignaszewski,,,,
570,Cardiac rehabilitation in BC: An approach based on Dr Hellerstein’s model,"Dr Herman Hellerstein was one of the first physicians to recognize there was more to cardiac disease than just the heart. In the 1950s his research led him to develop a multidisciplinary approach to cardiac rehabilitation that targeted the many facets of heart health. He went on to demonstrate that optimal treatment of heart disease requires both lifestyle modifications and med ical treatment. Today lifestyle modifications are the foundation for cardiac rehabilitation programs in Bri tish Columbia. Patients who take part in cardiac rehabilitation have an im proved quality of life and a substantially lower risk of dying. In fact, cardiac rehabilitation has been shown to reduce mortality by as much as 26%. In spite of the known benefits, cardiac rehabilitation programs in BC are currently underutilized. We hope to change this by increasing awareness of the benefits and the availability of programs based on Dr Hellerstein’s approach to heart health. Dr Herman Hellerstein grew up in the mining town of Dillonvale, Ohio, where he witness ed firsthand the effects of poverty and poor working conditions on people. He attended medical school at Western Reserve University and soon found himself drawn to cardiology. A dedicated researcher, he examined hearts in 2000 consecutive autopsies to de termine the incidence of cardiac disease. He studied methods to cor relate ECG findings with infarct ter ritory, and worked to make ECG ma chines more usable in the office and hospital settings. He was a strong proponent of cardiopulmonary resuscitation at a time when it was felt that nothing could be done for a fibrillating heart. But he found the true passion of his life when he was approach ed by the Cardiac in Industry Com mittee in 1949 to determine if patients who had experienced a myocardial infarction (MI) could safely return to work. Pioneering post-infarction care At the time Dr Hellerstein first became involved in cardiac rehabilitation (CR), complete bed rest for 6 weeks was the treatment of choice for an infarct. The practice of allowing patients to sit up in bed or walk around the room was only slowly being adopted. Patients who had an MI were often considered invalids and advised never to return to work. In the 1950s, knowledge of cardiovascular risk factors was in its infancy. The American Heart Association and American College of Cardiology (AHA/ACC) would not formally recognize hypercholesterolemia as a risk factor for atherosclerosis until 1961. ECG machines were bulky and considered of little use in the acute care setting. Coronary angiography and cardiac surgery were still largely experimental. Balloon angioplasty, coronary stents, thrombolysis, and coronary artery bypass grafting were not available. Medical therapy generally consisted of nitrates alone. It was in this context that Dr Hellerstein pioneered a post-infarcCardiac rehabilitation in BC: An approach based on Dr Hellerstein’s model Risk factor modification, diet, and exercise are still key to improving heart health. J. Rajala MD, FRCPC, C. Taylor MD, FACC, N. Kamoosi, M. Naruki-van Velzen, A. Ignaszewski, MD, FACC Dr Rajala is a cardiology fellow at the University of British Columbia. Dr Taylor is a clinical assistant professor at UBC and a staff cardiologist at St. Paul’s Hospital. Mr Kamoosi is an undergraduate student in kinesiology at Simon Fraser University. Mr Naruki-van Velzen is a clinical exercise specialist at St. Paul’s and Lions Gate Hospitals. Dr Ignaszewski is the medical director of the Healthy Heart Program and a staff cardiologist at St. Paul’s Hospital, as well as a clinical associate professor at UBC. 153 www.bcmj.org VOL. 55 NO. 3, APRIL 2013 BC MEDICAL JOURNAL tion care model intended to rehabilitate patients and return them to their work and previous levels of activity. Using groundbreaking ideas for the time, Dr Hellerstein forged one of the first multidisciplinary approaches to disease with a clinic staffed by physiotherapists, dietitians, vocational counselors, and psychotherapists. When he found a dearth of information on how much energy was actually expended while people performed various tasks, he began going to workplaces himself with research teams to measure blood pressure and heart rate response to activity. Initially considered radical, Dr Hel lerstein’s approach to CR, exercise, diet, and return to work faced resistance. Today his approach is widely accepted as being beneficial to patients with coronary artery disease (CAD). He eventually founded the Work Classification Clinic, was ap pointed chairman of the International Society of Cardiology’s Council on Preventative Medicine and Cardiac Rehabilitation, and authored many papers and several books about heart health. His most recognized book, Healing Your Heart, shows patients how modest changes in lifestyle can lead to large reductions in cardiovascular risk. Dr Hellerstein spent much of his life promoting a healthy lifestyle for his patients and teaching his students to do the same. He died in 1993 at age 77 from cancer. Managing CAD Coronary artery disease is a narrowing of the blood vessels surrounding the heart. This narrowing results from an inflammatory process that is driven by multiple associated risk factors. The beginnings of atherosclerotic plaque formation are seen even in childhood, with as many as 1 in 6 teenagers exhibiting early evidence of CAD. While the disease is common, the progression of atherosclerosis and the age when patients present to the medical system are variable. Until 2007, CAD was the largest killer of Canadians. In the Canadian 2008 mortality statistics, CAD placed a close second to cancer in all-cause death, and remained the number one killer of women. This is despite advances in cardiology that have dramatically decreased MI mortality for patients younger than 65 years old from close to 30% within the first month to less than 5%. CAD is a chronic illness rather than an acute one that we treat aggressively once and then forget about. While the flashy TV show management of an MI is often what comes to mind for both physician and patient, the much less glamorous lifestyle changes of diet, exercise, and risk factor management are what provide lasting benefits. By participating in CR, patients can decrease their risk of death from an MI by up to 26%, to a risk as low as 1%. The multidisciplinary approach pioneered by Dr Hellerstein targets physical, psychological, social, and vocational areas of a patient’s life. Ideally, it should include all of these elements, as illustrated in . Evidence for risk reduction The implementation of CR within communities has often been variable in scope and practice, which has led to difficulties in evaluating its efficaTable 1 Cardiac rehabilitation in BC: An approach based on Dr Hellerstein’s model Patient referral process Patient assessment: • Risk stratification • Exercise stress testing • Risk factor assessment Health behavior interventions and cardiovascular disease risk factor modification Nutritional counseling Risk factor counseling and management: • Lipids • Hypertension • Smoking cessation • Diabetes • Psychosocial issues • Weight management, particularly abdominal obesity • Psychosocial management • Physical activity counseling • Exercise training Patient education programs: • Health behavior adherence strategies • Medication adherence strategies Outcomes assessment programs: • Health outcomes • Educational outcomes • Behavioral outcomes • Service outcomes Continuous quality improvement programs Continuous professional development programs Reproduced with permission from Canadian Guidelines for Cardiac Rehabilitation and Cardiovascular Disease Prevention10 Table 1. Key elements of cardiac rehabilitation programs. 154 BC MEDICAL JOURNAL VOL. 55 NO. 3, APRIL 2013 www.bcmj.org cy. However, a recent meta-analysis by Heran and colleagues evaluated 10 794 patients with CAD who may or may not have been revascularized and who were randomly assigned to either exercise-based CR or usual care. Most of these patients were low-risk, middle-aged Caucasian males. Within less than a year of follow-up, CR was found to reduce hospital admissions by 31%. In the longer term, CR was found to significantly reduce overall mortality by 13% and cardiovascular mortality by 26%. This was consistent with previous meta-analyses. Taylor and colleagues showed a decrease of 20% in all-cause mortality and a de crease of 26% in cardiovascular mortality with CR, while Clark and colleagues demonstrated a 15% decrease in all-cause mortality. In addition, while the meta-analyses by Heran and Taylor were unable to demonstrate a reduced incidence of MI or need for revascularization, Clark’s 2004 metaanalysis showed a 17% overall reduction in recurrent MI over a median 12month follow-up period. Beneficial for all One of the most powerful aspects of CR is that the benefits transcend age and sex. In fact, women and the elderly, who have been traditionally underserved by CR programs in the past, stand to gain significantly from participating. The prevalence of CAD increases with age, and as the Canadian population ages we will need to focus on prevention of coronary events to reduce the burden on our health care system. A normally aging person develops a blunted response to physical exercise, decreased oxygen uptake, and decreas ed cardiac output at maximal exercise. When compared with their younger counterparts, however, elderly patients have comparable relative increases in exercise tolerance with exercise training. In the past, women may have been less likely to attend a CR program because many were older than men when they first presented with an MI. While women still tend to be older at first presentation, those at tending CR programs have been shown to achieve significant reductions in in flammatory markers, as well as reductions in other cardiac risk factors. In a study of 778 patients stratified by age and gender, the improvement",,2013,35,1,0,False,"{'model': 'tldr@v2.0.0', 'text': 'Cardiac rehabilitation in BC: An approach based on Dr Hellerstein’s model Risk factor modification, diet, and exercise are still key to improving heart health.'}",571,48367494,Naomi Matsuura,2305478,T. Fujiwara,39843110,M. Okuyama,33484436,M. Izumi,,,,,Medicine,"JournalArticle, Review"
571,Testing a cascade model of linkage between child abuse and negative mental health among battered women in Japan.,,Asian Journal of Psychiatry,2013,47,3,0,False,"{'model': 'tldr@v2.0.0', 'text': ""A structural equation modeling model confirmed the linkage with broader aspects of violence within the family such as CAH and DV, focusing on women's mental health problems reported by them.""}",572,97496111,Kathryn D. Morgan,,,,,,,,,,,Medicine,
572,Issues in Female Inmate Health: Results From a Southeastern State,"The current study examines health care services and perceptions of those services by former inmates of a women's prison in 1 southeastern state. The results indicate that many women enter prison with health issues, including hypertension, HIV/AIDS, depression, anxiety, and drug addictions, and use health services while incarcerated. Women in this study expressed overall dissatisfaction with those health services and did not perceive that their health improved while incarcerated or that they received better health care in prison than on the outside. This exploratory study points to the need for further empirical investigation into the issue of health care for the incarcerated female. The generalizability of the study's findings is possibly limited by the fact that respondents were former female inmates. Also, results from 1 southeastern state may not be generalizable to other geographic locations.",,2013,62,3,0,False,"{'model': 'tldr@v2.0.0', 'text': 'The results indicate that many women enter prison with health issues, including hypertension, HIV/AIDS, depression, anxiety, and drug addictions, and use health services while incarcerated, and do not perceive that their health improved while incarcerated or that they received better health care in prison than on the outside.'}",573,7570653,Amy L. Hequembourg,6686990,R. Dearing,,,,,,,,,"Psychology, Medicine",JournalArticle
573,"Exploring Shame, Guilt, and Risky Substance Use Among Sexual Minority Men and Women","This study examined the interrelations among shame-proneness, guilt-proneness, internalized heterosexism (IH), and problematic substance use among 389 gay, lesbian, and bisexual men and women. Problematic alcohol and drug use were positively related to shame-proneness and negatively related to guilt-proneness. Bisexuals reported riskier substance use behaviors, lower levels of guilt-proneness, and higher levels of IH than gay men and lesbians. Furthermore, study findings indicated that shame and IH are related. Additional investigations of these associations would supplement current understandings of sexual minority stress and advance the development of substance-related intervention and prevention efforts targeting sexual minorities.",Journal of Homosexuality,2013,61,89,3,True,"{'model': 'tldr@v2.0.0', 'text': 'Findings indicated that shame and IH are related and additional investigations of these associations would supplement current understandings of sexual minority stress and advance the development of substance-related intervention and prevention efforts targeting sexual minorities.'}",574,3019940,Laura Vandenbosch,115978605,Dorien Vervloessem,2658030,S. Eggermont,,,,,,,Psychology,
574,“I Might Get Your Heart Racing in My Skin-Tight Jeans”: Sexualization on Music Entertainment Television,"This study explores the culture of sexualizing the (female) body in music entertainment television. A quantitative content analysis was conducted, analyzing 9,369 scenes from 1,393 music videos and 180 programs, broadcast on Belgian music entertainment channels. Results indicated that 39.3% of the coded scenes contained sexualizing messages. These sexualizing messages were predominantly messages equating (female) Western body ideals to being sexually attractive. Music videos were shown to be a more sexualizing genre than nonfictional programs and fictional programs. Findings are discussed in light of objectification theory.",,2013,59,48,4,False,,575,144582909,Phillipa K. Chong,,,,,,,,,,,Sociology,"JournalArticle, Review"
575,"Legitimate judgment in art, the scientific world reversed? Maintaining critical distance in evaluation","This article considers affinities between artistic and scientific evaluations. Objectivity has been widely studied, as it is thought the foundation for legitimate judgments of truth. Yet we know comparatively little about subjectivity apart from its characterization as the obstacle to objective knowledge. In this article, I examine how subjectivity operates as an epistemic virtue in artistic evaluation, which is an especially interesting field for study given the accepted relativism of taste. Data are taken from interviews with 30 book reviewers drawn from major American newspapers including The New York Times, The Los Angeles Times, The Washington Post, and others. The data reveal that critics invest in a set of strategies to effectively ‘objectivize’ the subjectivity intrinsic to artistic evaluation, which I refer to collectively as strategies for maintaining critical distance. I argue that the concrete procedures for producing legitimate judgment in the world of art can be usefully compared to the norms for legitimate judgment in science.",,2013,53,60,1,False,,576,38494594,Laurel Holland,50214824,T. Matthews,2123612984,Melinda R. Schott,,,,,,,"Psychology, Medicine",JournalArticle
576,“That's So Gay!” Exploring College Students' Attitudes Toward the LGBT Population,"Traditional students are often introduced to unfamiliar subcultures for the first time on the college campus. Recent high school graduates find themselves transitioning from an atmosphere in which homophobia is likely to be tolerated and possibly even expected to an educational setting in which diversity is promoted. Research shows that the college years are influential in the re-socialization of core values, yet very little work focuses on the ideological shifts that may take place in attitudes toward the lesbian, gay, bisexual, and transgendered (LGBT) population. The research presented in this study includes a modified version of LaMar and Kite's Component Measure, which has been broken down into 6 distinctive components of tolerance. In addition to examining religion, gender, and race—factors that have been correlated in past research with differing levels of tolerance toward the LGBT community—this study adds politics, sexual orientation, academic class standing, and college of major—variables that have received little or no attention in this literature. Higher levels of LGBT tolerance are consistently observed across the indexes among women, more liberal Christian traditions, non-Christian faiths, the non-religious, and those who self-identify as LGBT. The distinctive contribution of this study is that students in the College of Arts and Sciences and students further along in their college careers are also more tolerant. Based on these findings, recommendations are made for inter-college curriculum changes that integrate students in all disciplines and students of all classifications.",Journal of Homosexuality,2013,72,77,12,False,"{'model': 'tldr@v2.0.0', 'text': 'Students in the College of Arts and Sciences and students further along in their college careers are also more tolerant, and recommendations are made for inter-college curriculum changes that integrate students in all disciplines and students of all classifications.'}",577,112869545,E. Puvia,48077389,J. Vaes,,,,,,,,,Psychology,
577,Being a Body: Women’s Appearance Related Self-Views and their Dehumanization of Sexually Objectified Female Targets,,,2013,31,72,4,False,,578,49384626,Courtney A. Crittenden,29248480,E. Wright,,,,,,,,,,
